insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute
62861,Vimy,62,2.811223662734881,50.37804259151292,,10.46927509230798,13.24962303459655,13.45962303459655,13.71284834379925,17.493417171534897,20.10892715001941,20.81180451693355,21.5666424807376,3.652603588455501,5.493409915756176,6.360074163829935,7.0116868184312855,0.1080632730067526,1.3528909303743797,3.087352876872175,6.27122633085867,0.8792896038654223,7.167601792398573,11.588312188533152,14.918356426089376,680.3431550459641,639.2892688417993,754.7293808783834,809.9223726029903
59623,Villers-Guislain,59,3.152009617433427,50.03596719866664,,10.179474349859468,13.029502015656336,13.219446684062596,13.469502015656335,17.379114694500153,20.08900403131268,20.819087028703287,21.45922535768764,3.1700553315937405,5.030082997390611,5.88008299739061,6.570193660578092,0.1002766579687019,1.501106631874808,2.902213263749615,5.80138328984351,0.9986167101564905,7.1917002609389415,11.388380365314518,15.383953837815287,736.4876017723719,683.3688087912415,815.2683234542277,875.8683740435471
59165,Cuincy,59,3.0340442424716496,50.37406206578534,,10.785713362781834,13.556136487813298,13.76484843136996,14.05930122353843,17.85924185516819,20.473007694524075,21.174915535947115,21.936910888713683,3.915803893293324,5.776570494731077,6.628743826096935,7.263650905438114,0.1984236491135382,1.2877124867118783,3.343155005904708,6.748166120854076,1.537737020742401,11.204299194757048,15.48070746792202,19.95421554248158,710.8612623212491,662.284664492903,782.7323966278634,848.175020068629
62864,Vis-en-Artois,62,2.9359591603808908,50.24535217038544,,10.41,13.2,13.4,13.67,17.44,20.06,20.76,21.5,3.58,5.43,6.27,6.92,0.1,1.4,3.2,5.9,0.9,6.7,11.8,14.5,683.7,647.55,766.4,809.44
59302,Hérin,59,3.4485132248597434,50.35827567764283,,10.739512318469716,13.539512318469717,13.765720964888263,14.011929611306815,17.916407995260442,20.59572096488827,21.345720964888265,22.00649745819932,3.79115311799576,5.665898240731079,6.5190025639403535,7.159689594312529,0.1853647631676976,1.6543215310749535,3.593129696278232,7.070729526335396,1.4164079952604416,9.739028895194068,14.815750596211856,20.07871518943672,707.8095652993393,663.881125844286,777.7653854351886,864.1393076536291
62819,Tilques,62,2.200636199567472,50.77232861528796,,10.29418993202894,12.905612869207111,13.243478463439851,13.5763243377962,16.892055526261682,19.153478463439853,20.16418993202894,20.81418993202894,3.8884587435634574,5.720593149330719,6.630593149330718,7.2513046179198035,0.1,0.5071146858908647,1.9213440576725944,5.014229371781729,0.2142293717817295,2.078261544799512,5.713834974253835,9.078261544799512,719.4791987806332,692.5401484407778,798.456939843452,874.1776544181189
59290,Haut-Lieu,59,3.9073656730827553,50.10347428166817,,9.910550775506508,12.757654291541758,12.951861323612256,13.216343743436008,17.16765429154176,19.85344725947126,20.681861323612257,21.36110155101301,2.843447259471258,4.716343743436009,5.627654291541758,6.317654291541757,0.0,0.6289648396475056,2.2289648396475057,5.015859358590022,1.2289648396475057,8.971035160352494,13.015859358590024,17.318613236122562,856.1419006240569,815.1676173762147,948.554853673571,1034.5495081751606
59065,Bellignies,59,3.7633074766519607,50.32242033246032,,10.19,12.94,13.21,13.48,17.39,20.03,20.82,21.55,3.18,5.03,5.88,6.59,0.1,0.9,3.1,6.3,1.0,7.2,11.4,15.9,734.93,691.04,790.52,882.05
62230,Colembert,62,1.826948548830448,50.749401654209926,,10.03,12.64,12.98,13.41,16.45,18.65,19.67,20.6,3.77,5.59,6.62,7.13,0.1,0.2,1.5,3.8,0.4,2.5,6.2,13.7,983.63,952.58,1054.45,1227.17
59506,Romeries,59,3.5431637583627382,50.19712619138012,,10.26,13.07,13.29,13.52,17.45,20.12,20.9,21.53,3.26,5.11,5.98,6.64,0.1,1.5,3.2,6.3,1.1,7.2,11.6,15.6,731.36,683.71,797.26,882.57
62432,Herbinghen,62,1.8973534103082743,50.76343193343019,,10.014363805803164,12.624363805803162,12.956545708704745,13.394363805803165,16.434363805803166,18.634363805803165,19.662181902901583,20.58436380580316,3.754363805803163,5.574363805803164,6.604363805803163,7.106545708704744,0.1,0.2,1.5,3.8,0.4000000000000001,2.5000000000000004,6.2,13.621819029015814,985.16234703129,953.9090765067313,1055.4585345256962,1228.85089087616
59513,Roucourt,59,3.146381095541433,50.32788730667672,,10.71,13.53,13.73,13.99,17.89,20.58,21.26,21.95,3.75,5.62,6.47,7.13,0.2,1.6,3.5,6.8,1.4,10.0,15.1,19.2,707.64,664.7,782.96,865.47
62650,Pelves,62,2.9178636531906537,50.28689149671601,,10.415173524241148,13.204349485362672,13.40517352424115,13.672964740067922,17.44629493707371,20.062106659697555,20.764612817824865,21.506855643489985,3.586821601998097,5.437382308414377,6.280151799003885,6.929591092587605,0.1,1.4056070641627982,3.166698029942119,5.955389811790165,0.8887858716744026,6.740861529004803,11.740955618831158,14.56065646103405,683.461132806118,646.3144616954871,765.1047462664797,809.3131281414072
62192,Cagnicourt,62,2.994439753756383,50.20815483626642,,10.278711918327376,13.084482205168603,13.257409583611576,13.531877535737008,17.324482205168604,19.95749313553199,20.63830565739558,21.36016894008942,3.44253537055435,5.282941631486143,6.103754153349729,6.787003322679783,0.0999999999999999,1.20812521863586,2.91218782795379,5.8040626093179295,0.7422971315876858,6.086274482826656,10.384603444418271,13.530118484876796,687.7532375013883,649.919383542439,776.5228066820355,810.9484998189022
